codedName;INCI_name;INN name;Ph. Eur. Name;CAS;EC_No;IUPAC_Name;Restriction;Function
L7294;TITANIUM/TITANIUM DIOXIDE;;;;;Complex mixture from partial oxidation of titanium, comprising mainly titanium dioxide (CI 77891) and titanium;;Cosmetic  colorant/opacifying
L7295;TOCOPHERETH-5;;;;;;;Surfactant/skin conditioning
L7296;TOCOPHERETH-10;;;;;;;Surfactant/skin conditioning
L7297;TOCOPHERETH-12;;;;;;;Surfactant/skin conditioning
L7298;TOCOPHERETH-18;;;;;;;Surfactant/skin conditioning
L7299;TOCOPHERETH-50;;;;;;;Surfactant/skin conditioning
L7300;TOCOPHEROL;;;10191-41-0;233-466-0;3,4-dihydro-2,5,7,8-tetramethyl-2-(4,8,12-trimethyltride- cyl)-2H-benzopyran-6-ol;;Antioxidant/skin conditioning
L7301;TOCOPHERSOLAN;tocofersolan;;30999-06-5;;Butanedioic acid, mono[3,4-dihydro-2,5,7,8-tetramethyl-2- (4,8,12-trimethyltridecy)-2H-1-benzopyran-6-yl] ester, polymer  with  oxirane (1:22);;Antioxidant
L7302;TOCOPHERYL  ACETATE;;;7695-91-2;231-710-0;3,4-dihydro-2,5,7,8-tetramethyl-2-(4,8,12-trimethyltride- cyl)-2H-benzopyran-6-yl acetate;;Antioxidant
L7303;TOCOPHERYL  LINOLEATE;;;36148-84-2;;9,12-octadecadienoic acid (Z,Z)-, 3,4-dihydro-2,5,7,8-tetra- methyl-2-(4,8,12-trimethyltridecyl)-2H-1-benzopyran-6-yl ester;;Antioxidant/skin conditioning/skin protecting
L7304;TOCOPHERYL LINOLE- ATE/OLEATE;;;;;3,4-Dihydro-2,5,7,8-tetramethyl-2-(4,8,12-trimethyltride- cyl)-2H-benzopyran-6-ol, esters with mixed 9,12-(Z,Z)- decanedienoic acid and 9-(Z)-octadecenoic  acid;;Antioxidant/skin conditioning
L7305;TOCOPHERYL NICOTI- NATE;;;43119-47-7/51898-34-1/16676-75-8;256-101-7/257-501-4;[2R-[2R*(4R*,8R*)]]-3,4-dihydro-2,5,7,8-tetramethyl-2- (4,8,12-trimethyltridecyl)-2H-1-benzopyran-6-yl nicotinate/ [2R*(4R*,8R*)]-(.+-.)-3,4-dihydro-2,5,7,8-tetramethyl-2- (4,8,12-trimethyltridecyl)-2H-1-benzopyran-6-yl   nicotinate;;Antioxidant/skin conditioning/skin protecting
L7306;TOCOPHERYL  SUCCINATE;;;893081;224-403-8;.alpha.-tocopheryl  hydrogen succinate;;Antioxidant
L7307;TOCOQUINONE;;;2067006;231-450-8;2,5-Cyclohexadiene-1,4-dione, 2-(3-hydroxy-3,7,11,15-tetra- methylhexadecyl)-3,5,6-trimethyl-, [3R-(3R*, 7R*, 11R*)]-;;Antioxidant/skin conditioning
