codedName;INCI_name;INN name;Ph. Eur. Name;CAS;EC_No;IUPAC_Name;Restriction;Function
L1;ABIES BALSAMEA EXTRACT;;;85085-34-3;285-364-0;Abies Balsamea Extract is an extract of the sprouts of Abies balsamea, Pinaceae;;Film  forming/hair conditioning
L2;ABIES PECTINATA EXTRACT;;;92128-34-2;295-728-0;Abies Pectinata Extract is an extract of the bark and needles of the silver fir, Abies pectinata,  Pinaceae;;Tonic/deodorant
L3;ABIES PECTINATA OIL;;;92128-34-2;295-728-0;Abies Pectinata Oil is the volatile oil obtained from the needles of the silver fir, Abies pectinata,  Pinaceae;;Tonic/masking
L4;ABIES SIBIRICA OIL;;;91697-89-1;294-351-9;Abies Sibirica Oil is the volatile oil distilled from the needles and branches of Abies sibirica,  Pinaceae;;Tonic/masking
L5;ABIETIC ACID;;;514-10-3;208-178-3;Abietic acid;;Emulsion stabilising
L6;ABIETYL  ALCOHOL;;;666-84-2;211-564-4;[1R-(1.alpha.,4a.beta.,4b.alpha.,10a.alpha.)]- 1,2,3,4,4a,4b,5,6,10,10a-decahydro-7-isopropyl-1,4a- dimethylphenanthren-1-methanol;;Viscosity controlling
L7;ACACIA CATECHU;;;8001-76-1;232-291-7;Acacia Catechu is the dried, crushed core of Acacia catechu, Leguminosae;;Hair dyeing/astringent
L8;ACACIA CONCINNA EXTRACT;;;202148-87-6;;Acacia Concinna Extract is an extract of the fruit of Acacia concinna, Leguminosae;;Skin conditioning
L9;ACACIA DEALBATA EXTRACT;;;165800-52-2;;Acacia Dealbata Extract is an extract of the leaves of the wattle, Acacia dealbata, Leguminosae;;Skin conditioning
L10;ACACIA DECURRENS EXTRACT;;;98903-76-5;308-877-4;Accacia Decurrens Extract is an extract of the sprouts of the acacia, Acacia decurrens, Leguminosae;;Tonic
L11;ACACIA FARNESIANA EXTRACT;;;89958-31-6;289-655-3;Acacia Farnesiana Extract is an extract of the flowers and stems of the acacia, Acacia farnesiana,  Leguminosae;;Viscosity  controlling/astringent
L12;ACACIA FARNESIANA GUM;;;2593-59-3;232-519-5;Acacia Farnesiana Gum is a plant material derived from the dried, gummy exudate of acacia, Acacia farnesiana, Leguminosae;;Viscosity  controlling/astringent
L13;ACACIA SENEGAL;acacia;acaciae gummi;2593-22-8;232-519-5;Gum arabic;;Viscosity controlling
L14;ACACIA SENEGAL EXTRACT;;;97659-43-3;307-447-3;Acacia Senegal Extract is an extract of the flowers and stems of the acacia, Acacia senegal, Leguminosae;;Viscosity controlling
L15;ACACIA SENEGAL GUM EXTRACT;;;90387-99-8;291-377-2;Acacia Senegal Gum Extract is an extract of the gum of the acacia, Acacia senegal, Leguminosae;;Viscosity controlling
L16;ACANTHOPANAX SENTI- COSUS EXTRACT;;;92346-80-0;296-164-8;Acanthopanax Senticosus Extract is an extract of the roots of eleuthero ginseng, Acanthopanax senticosus, Araliaceae;;Soothing
L17;ACER PSEUDOPLATANUS EXTRACT;;;90063-88-0;290-048-0;Acer Pseudoplatanus Extract is an extract of the leaves of Acer pseudoplatanus, Aceraceae;;Skin conditioning
L18;ACER SACCHARINUM EXTRACT;;;91770-22-8;294-807-7;Acer Saccharinum Extract is an extract of the bark and sap  of the sugar maple, Acer saccharinum,   Aceraceae;;Keratolytic
L19;ACETALDEHYDE;;;75-07-0;200-836-8;Acetaldehyde;;Nail conditioning
L20;ACETAMIDE MEA;;;142-26-7;205-530-8;N-2-hydroxyethylacetamide;;Antistatic/humectant
L21;ACETAMIDOETHOXYBU- TYL TRIMONIUM CHLOR- IDE;;;221375-78-6;;Butanaminium, N,N, N-trimethyl-4-(2-acetamidoethoxy), chloride;;Antistatic/emollient/hair condition- ing
L22;ACETAMIDOPROPYL TRI- MONIUM CHLORIDE;;;123776-56-7;;3-(acetylamino)-N, N,N-trimethyl-1-propanaminium chlor- ide;;Antistatic
L23;ACETAMINOPHEN;paracetamol;paracetamolum;103-90-2;203-157-5;Acetamide, N-(4-hydroxyphenyl)-;;Stabilising
L24;ACETAMINOSALOL;acetaminosalol;;118-57-0;204-261-3;Benzoic acid, 2-hydroxy-, 4-(acetylamino)phenyl  ester;;Antimicrobial
L25;ACETANILID;acetanilide;;103-84-4;203-150-7;Acetanilide;;Stabilising
L26;ACETIC ACID;acetic acid;acidum aceticum;64-19-7;200-580-7;Acetic acid;;Buffering
L27;ACETONE;acetone;;67-64-1;200-662-2;Acetone;;Denaturant/solvent
L28;1-ACETOXY-2-METHYL- NAPHTHALENE;;;1386-86-8;;1-Naphthalenol,  2-methyl-, acetate;;Hair dyeing
L29;ACETUM;;;90132-02-8;290-419-7;Vinegar, ext;;Antistatic
L30;ACETYL CYSTEINE;;;616-91-1;210-498-3;Acetylcysteine;;Antioxidant
L31;ACETYL  GLUCOSAMINE;;;10036-64-3;233-115-1;N-acetyl-.alpha.-D-glucosamine;;Skin conditioning
L32;ACETYL  GLUTAMIC ACID;;;1188-37-0;214-708-4;N-acetylglutamic acid;;Skin conditioning
L33;ACETYL GLUTAMINE;;;35305-74-9;;L-Glutamine, N-acetyl-;;Skin conditioning
L34;ACETYL GLYCERYL RICI- NOLEATE;;;235433-29-1;;Glycerides, mixed acetyl and ricinoleoyl;;Skin  conditioning/emollient
L35;ACETYL HEXAMETHYL INDAN;;;15323-35-0;239-360-0;1,1,2,3,3,6-hexamethylindan-5-yl  methyl  ketone;;Masking
L36;ACETYL HEXAMETHYL TETRALIN;;;1506-02-1;216-133-4;1-(5,6,7,8-tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthyl) ethan-1-one;;Masking
L37;ACETYL MANDELIC ACID;;;51019-43-3/7322-88-5;;Benzeneacetic acid, .alpha.-(acetyloxy)-;;Buffering
L38;ACETYL  METHIONINE;;;65-82-7/1115-47-5;200-617-7/214-224-3;N-acetylmethionine;;Skin conditioning
L39;ACETYL TRIBUTYL CITRATE;;;77-90-7;201-067-0;Tributyl O-acetylcitrate;;Film forming/plasticiser
L40;ACETYL TRIETHYL CITRATE;;;77-89-4;201-066-5;Triethyl O-acetylcitrate;;Film forming/plasticiser
L41;ACETYL TRIETHYLHEXYL CITRATE;;;144-15-0;205-617-0;Tris(2-ethylhexyl) 2-(acetyloxy)propane-1,2,3-tricarboxylate;;Emollient/film forming/plasticiser
L42;ACETYL TRIHEXYL CITRATE;;;24817-92-3;;1,2,3-propanetricarboxylic acid, 2-acetyloxy-, trihexyl  ester;;Antioxidant/chelating/plasticiser
L43;ACETYL TYROSINE;;;537-55-3;208-671-3;N-acetyl-L-tyrosine;;Tanning
L44;ACETYLATED CASTOR OIL;;;84929-62-4;284-546-7;Castor oil, acetylated;;Emollient
L45;ACETYLATED CETYL HYDROXYPROLINATE;;;221378-54-7;;L-Proline, 1-acetyl-4-(acetyloxy)-, hexadecyl ester, (4R)-;;Emollient
L46;ACETYLATED GLYCOL STEARATE;;;22613-51-0;245-122-7;2-acetoxyethyl stearate;;Emollient/emulsion stabilising
L47;ACETYLATED HYDROGE- NATED COTTONSEED GLYCERIDE;;;165800-53-3;;Glycerides, cottonseed oil mono-, hydrogenated,   acetates;;Emollient/emulsifying
L48;ACETYLATED HYDROGE- NATED LANOLIN;;;91053-41-7;293-306-0;Lanolin, hydrogenated, acetylated;;Emollient
L49;ACETYLATED HYDROGE- NATED  LARD GLYCERIDE;;;93572-31-7;297-461-5;Glycerides, lard mono-, hydrogenated,  acetates;;Emollient
L50;ACETYLATED HYDROGE- NATED TALLOW GLYCER- IDE;;;68990-58-9;273-612-0;Glycerides, tallow mono-, hydrogenated,  acetates;;Emollient/emulsifying
L51;ACETYLATED HYDROGE- NATED TALLOW GLYCER- IDES;;;91723-32-9;294-538-5;Glycerides, tallow mono-, di- and tri-, hydrogenated, acetates;;Emollient/emulsifying
L52;ACETYLATED HYDROGE- NATED VEGETABLE GLY- CERIDE;;;174333-76-7;;Glycerides, vegetable oil mono-, hydrogenated,  acetates;;Emollient
L53;ACETYLATED  LANOLIN;;;61788-48-5;262-979-2;Lanolin, acetate;;Antistatic/emollient/emulsifying
L54;ACETYLATED LANOLIN ALCOHOL;;;61788-49-6;262-980-8;Acetic acid, esters with lanolin  alcs;;Antistatic/emollient/emulsifying
L55;ACETYLATED LANOLIN RICINOLEATE;;;226995-78-4;;9-Octadecenoic acid, 12-hydroxy-, (9Z, 12R)-, esters with lanolin  alcohols, acetates;;Antistatic/emollient
L56;ACETYLATED LARD GLY- CERIDE;;;68990-55-6;273-609-4;Glycerides, lard mono-,  acetates;;Emollient
L57;ACETYLATED PALM KER- NEL GLYCERIDES;;;91744-63-7;294-627-9;Glycerides, palm kernel-oil, acetylated;;Emollient/emulsifying
L58;ACETYLATED SUCROSE DISTEARATE;;;121684-92-2;;Sucrose distearate, acetates;;Emollient
L59;ACETYLMETHIONYL METHYLSILANOL ELASTI- NATE;;;227200-23-9;;Elastin, reaction products with N-acetyl-L-methionine and methylsilanetriol;;Antistatic/skin conditioning/hair conditioning
L60;ACHILLEA MILLEFOLIUM EXTRACT;;;84082-83-7;282-030-6;Achillea Millefolium Extract is an extract of the leaves and flowers of the yarrow, Achillea millefolium,  Asteraceae;;Soothing/antidandruff/refreshing/ cleansing/tonic
L61;ACHILLEA MILLEFOLIUM OIL;;;2236-20-6;282-030-6;Achillea Millefolium Oil is the oil obtained from the flowering herb of the yarrow, Achillea millefolium, Asteraceae;;Soothing/antidandruff/refreshing/ cleansing/tonic
L62;ACID BLACK 1;;;1064-48-8;213-903-1;Disodium 4-amino-5-hydroxy-3-(4-nitrophenylazo)-6-(phe- nylazo)naphthalene-2,7-disulphonate (CI 20470);;Hair dyeing
L63;ACID BLACK 52;;;5610-64-0;227-029-3;Chromium, 3-hydroxy-4-[(2-hydroxy-1-naphthalenyl)azo]- 7-nitro-1-naphthalenesulphonic  acid  complex  (CI 15711);;Hair dyeing
L64;ACID BLUE 1;;;129-17-9;204-934-1;Hydrogen [4-[4-(diethylamino)-2',4'-disulphonatobenzhy- drylidene]cyclohexa-2,5-dien-1-ylidene]diethylammonium, sodium  salt  (CI 42045);;Hair dyeing
L65;ACID BLUE 3;;;3536-49-0;222-573-8;Bis[hydrogen [4-[4-(diethylamino)-5'-hydroxy-2',4'-disul- phonatobenzhydrylidene]cyclohexa-2,5-dien-1-ylidene] diethylammonium], calcium salt  (CI  42051);;Hair dyeing
L66;ACID BLUE 9;;;3844-45-9;223-339-8;Dihydrogen (ethyl)[4-[4-[ethyl(3-sulphonatobenzyl)] amino]-2'-sulphonatobenzhydrylidene]cyclohexa-2,5-dien- 1-ylidene](3-sulphonatobenzyl)ammonium, disodium salt (CI 42090);;Hair dyeing
L67;ACID BLUE 62;;;4368-56-3;224-460-9;Sodium 1-amino-4-(cyclohexylamino)-9,10-dihydro-9,10- dioxoanthracene-2-sulphonate  (CI  62045);;Hair dyeing
L68;ACID BLUE 74;indigotindisulfonate sodium;;860-22-0;212-728-8;Disodium 5,5'-(2-(1,3-dihydro-3-oxo-2H-indazol-2-yli- dene)-1,2-dihydro-3H-indol-3-one)disulphonate  (CI  73015);;Hair dyeing
L69;ACID BROWN 13;;;6373-79-1;228-922-0;Disodium 3,3'-[sulphonylbis[(2-nitro-p-phenylene)imino]] bis[6-anilinobenzenesulphonate]  (CI  10410);;Hair dyeing
L70;ACID GREEN 1;;;19381-50-1;243-010-2;Trisodium tris[5,6-dihydro-5-(hydroxyimino)-6-oxo- naphthalene-2-sulphonato(2-)-N5,O6]ferrate(3-)  (CI  10020);;Hair dyeing
L71;ACID GREEN 25;;;4403-90-1;224-546-6;Disodium 2,2'-(9,10-dioxoanthracene-1,4-diyldiimino)bis(5- methylsulphonate)  (CI 61570);;Hair dyeing
L72;ACID GREEN 50;;;3087-16-9;221-409-2;Hydrogen [4-[4-(dimethylamino)-.alpha.-(2-hydroxy-3,6- disulphonato-1-naphthyl)benzylidene]cyclohexa-2,5-dien-1- ylidene]dimethylammonium,  monosodium  salt  (CI 44090);;Hair dyeing
L73;ACID ORANGE 3;;;6373-74-6;228-921-5;Sodium 2-anilino-5-(2,4-dinitroanilino)benzenesulphonate (CI 10385);;Hair dyeing
L74;ACID ORANGE 6;;;547-57-9;208-924-8;Sodium 4-(2,4-dihydroxyphenylazo)benzenesulphonate (CI 14270);;Hair dyeing
L75;ACID ORANGE 7;;;633-96-5;211-199-0;Sodium 4-[(2-hydroxy-1-naphthyl)azo]benzenesulphonate (CI 15510);;Hair dyeing
L76;ACID ORANGE 24;;;1320-07-6;215-296-9;Sodium 4-[[3-[(dimethylphenyl)azo]-2,4-dihydroxyphenyl] azo]benzenesulphonate  (CI  20170);;Hair dyeing
L77;ACID RED 14;;;3567-69-9;222-657-4;Disodium 4-hydroxy-3-[(4-sulphonatonaphthyl)azo] naphthalenesulphonate (CI 14720);;Hair dyeing
L78;ACID RED 14 ALUMINUM LAKE;;;84238-07-3;282-478-2;1-Naphthalenesulfonic acid, 4-hydroxy-3-[(4-sulfo-1- naphthalenyl)azo]-, aluminium complex (CI 14720:    1);;Hair dyeing
L79;ACID RED 18;;;2611-82-7;220-036-2;Trisodium 1-(1-naphthylazo)-2-hydroxynaphthalene-4',6,8- trisulphonate (CI 16255);;Hair dyeing
L80;ACID RED 18 ALUMINUM LAKE;;;12227-64-4;235-438-3;Aluminium, 7-hydroxy-8-[(4-sulfo-1-naphthalenyl)azo]-1,3- naphthalenedisulfonic  acid  complex (CI  16255: 1);;Hair dyeing
L81;ACID RED 27;;;915-67-3;213-022-2;Trisodium 3-hydroxy-4-(4'-sulphonatonaphthylazo) naphthalene-2,7-disulphonate (CI 16185));;Hair dyeing
L82;ACID RED 33;;;3567-66-6;222-656-9;Disodium 5-amino-4-hydroxy-3-(phenylazo)naphthalene- 2,7-disulphonate (CI 17200);;Hair dyeing
L83;ACID RED 35;;;6441-93-6;229-231-7;Disodium 5-(acetylamino)-4-hydroxy-3-[(o-tolyl)azo] naphthalene-2,7-disulphonate  (CI  18065);;Hair dyeing
L84;ACID RED 51;erythrosine;;16423-68-0;240-474-8;Disodium 2-(2,4,5,7-tetraiodo-6-oxido-3-oxoxanthen-9-yl) benzoate (CI 45430);;Hair dyeing
L85;ACID RED 52;;;3520-42-1;222-529-8;Hydrogen 3,6-bis(diethylamino)-9-(2,4-disulphonatophenyl) xanthylium, sodium salt  (CI  45100);;Hair dyeing
L86;ACID RED 73;;;5413-75-2;226-502-1;1,3-Naphthalenedisulfonic acid, 7-hydroxy-8-[[4-(pheny- lazo)phenyl]azo]-, disodium  salt  (CI 27290);;Hair dyeing
L87;ACID RED 87;;;17372-87-1;241-409-6;Disodium 2-(2,4,5,7-tetrabromo-6-oxido-3-oxoxanthen-9- yl)benzoate (CI 45380);;Hair dyeing
L88;ACID RED 92;;;18472-87-2;242-355-6;3,4,5,6-tetrachloro-2-(1,4,5,8-tetrabromo-6-hydroxy-3- oxoxanthen-9-yl)benzoic acid (CI 45410);;Hair dyeing
L89;ACID RED 95;;;33239-19-9;251-419-2;Disodium 2-(4,5-diiodo-6-oxido-3-oxoxanthen-9-yl)benzo- ate (CI 45425);;Hair dyeing
L90;ACID RED 195;;;;;Chromium, 4-[(4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H- pyrazol-4-yl)azo]-3-hydroxynaphthalene-1-sulphonic acid complex;;Cosmetic colorant
L91;ACID VIOLET 9;;;6252-76-2;228-377-9;Hydrogen 9-(2-carboxylatophenyl)-3-(2-methylanilino)-6- (2-methyl-4-sulphoanilino)xanthylium, monosodium salt (CI 45190);;Hair dyeing
L92;ACID VIOLET 43;;;4430-18-6;224-618-7;Sodium 4-[(9,10-dihydro-4-hydroxy-9,10-dioxo-1-anthryl) amino]toluene-3-sulphonate (CI 60730);;Hair dyeing
L93;ACID YELLOW 1;;;846-70-8;212-690-2;Disodium 5,7-dinitro-8-oxidonaphthalene-2-sulphonate (CI 10316);;Hair dyeing
L94;ACID YELLOW 3;;;95193-83-2;305-897-5;1H-Indene-1,3(2H)-dione, 2-(2-quinolinyl)-, sulfonated, sodium salts;;Hair dyeing
L95;ACID YELLOW 23;;;1934-21-0;217-699-5;Trisodium 5-hydroxy-1-(4-sulphophenyl)-4-(4-sulphophe- nylazo)pyrazole-3-carboxylate  (CI 19140);;Hair dyeing
L96;ACID YELLOW 73 SODIUM SALT;fluorescein  sodium;;518-47-8;208-253-0;Disodium 2-(3-oxo-6-oxidoxanthen-9-yl)benzoate (CI 45350);;Hair dyeing
L97;ACIDOPHILUS/VITIS VINI- FERA FERMENT;;;;;Acidophilus/Vitis vinifera Ferment is the product obtained by fermentation of grapes (Vitis vinifera) by the micro- organism Acidophilus;;Skin conditioning
L98;ACINETOBACTER FER- MENT;;;;;Product obtained by the fermentation of acinetobacter;;Skin conditioning
L99;ACORUS CALAMUS EXTRACT;;;84775-39-3;283-869-0;Acorus Calamus Extract is an extract of the roots of the calamus, Acorus calamus, Araceae;;Skin conditioning
L100;ACORUS CALAMUS ROOT POWDER;;;84775-39-3;283-869-0;Acorus Calamus Root Powder is the powder derived from the root of  the calamus, Acorus calamus,   Araceae;;Skin conditioning
L101;ACRYLAMIDE/SODIUM ACRYLATE  COPOLYMER;;;25085-02-3;;2-propenoic acid, sodium salt, polymer with 2-propenamide;;Antistatic/film forming
L102;ACRYLAMIDES COPOLY- MER;;;;;2-propenamide, polymer with 2-butenamide and/or alkyl- propenamide;;Antistatic/film forming
L103;ACRYLAMIDES/ACRY- LATES/DMAPA/METHOXY PEG METHACRYLATE COPOLYMER;;;;;;;Film forming
L104;ACRYLAMIDOPROPYLTRI- MONIUM CHLORIDE/ ACRYLATES COPOLYMER;;;;;Propenamidopropyltrimethylammonium chloride, polymer with propenoic acid, butenoic acid, and/or alkyl propeno- ates;;Film forming
L105;ACRYLATES COPOLYMER;;;25133-97-5;;2-propenoic acid, 2-methyl-, polymer with ethyl 2-pro- penoate and methyl 2-methyl-2-propenoate;;Antistatic/binding/film  forming
L106;ACRYLATES/ACETOACE- TOXYETHYL METHACRY- LATE COPOLYMER;;;;;;;Film forming
L107;ACRYLATES/ACRYLAMIDE COPOLYMER;;;;;Propenamide, polymer with propenoic acid, butenoic acid, and/or  alkyl propenoates;;Film forming
L108;ACRYLATES/AMMONIUM METHACRYLATE COPOLY- MER;;;;;Ammonium butenoate, polymer with propenoic acid, butenoic acid, and/or alkyl propenoates;;Antistatic/film forming
L109;ACRYLATES/C10-30 ALKYL ACRYLATE CROSS- POLYMER;;;;;C10-C30 alkyl propenoate, polymer with propenoic acid, butenoic acidand/or alkyl propenoates, product with propenyl sucrose ether or propenyl 2,2-dihydroxymethyl- 1,3-propanediol;;Film forming
L110;ACRYLATES/CARBAMATE COPOLYMER;;;;;;;Hair conditioning/skin condition- ing
L111;ACRYLATES/CETETH-20 ITACONATE COPOLYMER;;;;;Copolymer formed from the half ester of methylenebuta- nedioic acid and poly(oxy-1,2-ethanediyl),.alpha.-hexadecyl-. omega.-hydroxy-, and one or more monomers of acrylic  acid, methacrylic acid or one of their simple    esters;;Viscosity controlling
L112;ACRYLATES/CETETH-20 METHACRYLATE COPOLY- MER;;;;;Copolymer formed from the half ester of methacrylic acid and poly(oxy-1,2-ethanediyl),.alpha.-hexadecyl-.omega.- hydroxy-, and one or more monomers of acrylic acid, methacrylic acid or one of their simple    esters;;Viscosity controlling
L113;ACRYLATES/DIACETO- NEACRYLAMIDE COPOLY- MER;;;;;;;Film  forming/viscosity controlling
L114;ACRYLATES/DIMETHI- CONE COPOLYMER;;;;;Polydimethylsiloxane, copolymer with one or more mono- mers of acrylic acid, methacrylic acid or one of their simple esters;;Anticaking/binding/film  forming
L115;ACRYLATES/DIMETHYLA- MINOETHYL METHACRY- LATE COPOLYMER;;;;;Copolymer formed from the ester of methacrylic acid and dimethylaminoethanol and one or more monomers con- sisting of acrylic acid, methacrylic acid or one of their simple esters;;Binding/film forming
L116;ACRYLATES/ETHYLHEXYL ACRYLATE  COPOLYMER;;;;;Copolymer formed from ethylhexyl acrylate, and one or  more monomers of acrylic acid, methacrylic acid or one of their simple esters;;Film forming
L117;ACRYLATES/ETHYLHEXY- LACRYLAMIDE COPOLY- MER;;;;;2-Propenoic acid, 2-methyl-, polymer with 2-propenoic acid and  N-(2-ethylhexyl)-2-propenamide;;Film forming
L118;ACRYLATES/PVP COPOLY- MER;;;26589-26-4;;2-propenoic acid, 2-methyl-, polymer with 1-ethenyl-2- pyrrolidinone and ethyl 2-methyl-2-propenoate;;Antistatic/binding/film  forming
L119;ACRYLATES/STEARETH- 50 ACRYLATE COPOLY- MER;;;;;;;Film  forming/viscosity controlling
L120;ACRYLATES/STEARETH- 20 METHACRYLATE COPOLYMER;;;;;Stearyl alcohol, product with oxirane, butenoate ester, polymer with propenoic acid, butenoic acid, and/or alkyl propenoates;;Viscosity controlling
L121;ACRYLATES/STEARETH- 20 ITACONATE COPOLY- MER;;;;;Copolymer formed from the half ester of methylenebuta- nedioic acid and poly(oxy-1,2-ethanediyl),.alpha.-octadecyl-. omega.-hydroxy-, and one or more monomers of acrylic  acid, methacrylic acid or one of their simple    esters;;Viscosity controlling
L122;ACRYLATES/VA COPOLY- MER;;;25067-02-1;;;;Film  forming/viscosity controlling
L123;ACRYLATES/VA CROSSPO- LYMER;;;;;;;Film forming
L124;ACRYLATES/VINYL ISO- DECANOATE CROSSPOLY- MER;;;;;;;Film forming/emulsion stabilising/ viscosity controlling
L125;ACRYLIC ACID/ACRYLO- NITROGENS  COPOLYMER;;;61788-40-7;;2-Propenenitrile,  homopolymer,  hydrolyzed;;Film forming
L126;ACTINIDIA CHINENSIS FRUIT EXTRACT;;;92456-63-8;296-241-6;Actinidia Chinensis Extract is an extract of the fruit of the kiwi, Actinidia chinensis, Actinidiaceae;;Emollient/skin  conditioning
L127;ACTINIDIA CHINENSIS SEED;;;92456-63-8;296-241-6;Actinidia Chinensis Seed is the ground seeds of the kiwi plant, Actinidia chinensis, Actinidiaceae;;Emollient/skin  conditioning
L128;ACTINIDIA CHINENSIS SEED OIL;;;;;Actinidia Chinensis Seed Oil is a fixed oil expressed from the seeds of the kiwi plant, Actinidia chinensis,   Actinidiaceae;;Emollient/skin  conditioning
L129;ACTINIDIA CHINENSIS WATER;;;92456-63-8;296-241-6;Actinidia Chinensis Water is an aqueous solution of the odoriferous principles of the fruit of the kiwi, Actinidia chinensis, Actinidiaceae;;Emollient/skin  conditioning
L130;ADANSONIA DIGITATA OIL;;;225233-93-2;;Adansonia Digitata Oil is the fixed oil obtained from the leaves and the pulp of fruits of the Adansonia digitata, Bombacaceae;;Emollient/skin  conditioning
L131;ADENOSINE;;;58-61-7;200-389-9;Adenosine;;Skin conditioning
L132;ADENOSINE CYCLIC PHOSPHATE;;;60-92-4;200-492-9;Adenosine,  cyclic  3',5'-(hydrogen phosphate);;Skin conditioning
L133;ADENOSINE PHOSPHATE;adenosine phos- phate;;61-19-8;200-500-0;Adenosine phosphate;;Skin conditioning
L134;ADENOSINE TRIPHO- SPHATE;;;56-65-5;200-283-2;Adenosine 5'-triphosphate;;Skin conditioning
L135;ADEPS BOVIS;;;61789-97-7;263-099-1;Tallow. An animal fat. Contains primarily glycerides of C16- 18  fatty acids;II/419 (processing according to II/419 should be followed);Emollient
L136;ADEPS SUILLUS;;;61789-99-9;263-100-5;Lard. The purified internal fat of the hog. It consists primarily of  stearin,  palmitin  and olein;;Emollient
L137;ADIANTUM CAPILLUS VENERIS EXTRACT;;;84649-72-9;283-457-0;Adiantum Capillus-veneris Extract is an extract of the leaves of the maiden hair fern, Adiantum capillus-veneris, Polypodiaceae;;Antidandruff/astringent
L138;ADIANTUM PEDATUM EXTRACT;;;165800-54-4;;Adiantum Pedatum Extract is an extract of the leaves of the fern,  Adiantum  pedatum, Polypodiaceae;;Antidandruff/astringent
L139;ADIPIC ACID;;;124-04-9;204-673-3;Adipic acid;;Buffering
L140;ADIPIC ACID/DIETHYLENE GLYCOL/GLYCERIN CROSSPOLYMER;;;26760-54-3;;Hexanedioic acid, polyester with 2,2'-oxybisethanol and 1,2,3-propanetriol;;Film forming
L141;ADIPIC ACID/DIETHYLE- NETRIAMINE COPOLYMER;;;25085-20-5;;Hexanedioic acid, polyamide with N-(2-aminoethyl)-1,2- ethanediamine;;Film forming
L142;ADIPIC ACID/DIMETHY- LAMINOHYDROXYPRO- PYL DIETHYLENETRIA- MINE COPOLYMER;;;133184-01-7;;Hexanedioic acid, polymer with 1-(bis(2-aminoethyl) amino)-3-(dimethylamino)-2-propanol;;Antistatic/film forming
L143;ADIPIC ACID/EPOXYPRO- PYL DIETHYLENETRIA- MINE COPOLYMER;;;25212-19-5;;Hexanedioic acid, polymer with chloromethyloxirane and N-(2-aminoethyl)-1,2-ethanediamine;;Antistatic/film forming
L144;ADIPIC ACID/ISOPHTHA- LIC ACID/NEOPENTYL GLYCOL/TRIMETHYLOL- PROPANE COPOLYMER;;;25950-34-9;;;;Film forming
L145;ADIPIC ACID/ISOPHTHA- LIC ACID/NEOPENTYL GLYCOL/TRIMETHYLOL- PROPANE COPOLYMER;;;25950-34-9;;1,3-Benzenedicarboxylic acid, polymer with 2,2-dimethyl- 1,3-propanediol, 2-ethyl-2-(hydroxymethyl)-1,3-propane- diol and hexanedioic  acid;;Film forming
L146;ADIPIC ACID/NEOPENTYL GLYCOL/TRIMELLITIC ANHYDRIDE  COPOLYMER;;;28407-73-0;;Hexanedioic acid, polymer with 1,3-dihydro-1,3-dioxo-5- isobenzofurancarboxylic acid and 2,2-dimethyl-1,3-propa- nediol;;Film forming
L147;AEGOPODIUM PODA- GRARIA EXTRACT;;;90320-19-7;291-043-6;Aegopodium Podagraria Extract is an extract of the flowering herb of the goatweed, Aegopodium podagraria, Apiaceae;;Skin conditioning
L148;AESCULUS HIPPOCASTA- NUM BARK EXTRACT;;;8053-39-2;232-497-7;Aesculus Hippocastanum Bark Extract is an extract of the bark of the horse chestnut tree, Aesculus hippocastanum, Hippocastanaceae;;Tonic/astringent
L149;AESCULUS HIPPOCASTA- NUM EXTRACT;;;8053-39-2;232-497-7;Aesculus Hippocastanum Extract is an extract of the horse chestnut,  Aesculus  hippocastanum, Hippocastanaceae;;Tonic/astringent
L150;AGAR;;agar;9002-18-0;232-658-1;Agar;;Binding/viscosity controlling
L151;AGARICUS BISPORUS EXTRACT;;;95009-14-6;305-742-1;Agaricus Bisporus Extract is an extract of the caps and stems of  the mushroom Agaricus bisporus,  Agaricaceae;;Emollient
L152;AGAROSE;;;9012-36-6;232-731-8;Agarose;;Skin conditioning/viscosity con- trolling
L153;AGAVE AMERICANA EXTRACT;;;85186-53-4;286-037-5;Agave Americana Extract is an extract of the leaves of Agave americana, Agavaceae;;Skin conditioning
L154;AGAVE RIGIDA;;;;;Agave Rigida is a plant material derived from the leaves of the sisal, Agave rigida, Agavaceae;;Bulking
L155;AGAVE RIGIDA EXTRACT;;;165800-55-5;306-786-4;Agave Rigida Extract is an extract of the leaves of the sisal, Agave rigida, Agavaceae;;Bulking
L156;AGRIMONIA EUPATORIA EXTRACT;;;84775-40-6;283-870-6;Agrimonia Eupatoria Extract is an extract of the leaves of the agrimony, Agrimonia eupatoria,   Rosaceae;;Skin conditioning/astringent/anti- microbial
L157;AGROPYRON REPENS EXTRACT;;;84649-79-6;283-459-1;Agropyron Repens Extract is an extract of the roots of the couch grass, Agropyron repens,   Gramineae;;Skin conditioning
L158;AHNFELTIA CONCINNA EXTRACT;;;223749-75-5;;Ahnfeltia Concinna Extract is an extract of the algae, Ahnfeltia  concinna, Phyllophoraceae;;"Skin protecting; gel  forming"
L159;AILANTHUS ALTISSIMA EXTRACT;;;90131-67-2;290-380-6;Ailanthus Altissima Extract is an extract of the bark of the Ailanthus altissima, Simarubaceae;;Skin conditioning
