enum1;chemical1;Unnamed: 2;enum2;chemical2;Unnamed: 5;Unnamed: 6;Unnamed: 7;enum3;chemical3;colour;legal
E351;Potassium malate;;E401;Sodium alginate;;;;E281;Sodium propionate;preservative;Approved in the EU.[10]
E352;Calcium malates;;E402;Potassium alginate;;;;E282;Calcium propionate;preservative;Approved in the EU.[10]
E353;Metatartaric acid;;E403;Ammonium alginate;;;;E283;Potassium propionate;preservative;Approved in the EU.[10]
E354;Calcium tartrate;;E404;Calcium alginate;;;;E284;Boric acid;preservative;Approved in the EU.[10]
E355;Adipic acid;;E405;"Propane-1;2-diol alginate";;;;E285;"Sodium tetraborate;borax";preservative;Approved in the EU.[10]
E356;Sodium adipate;;E406;Agar;;;;E290;Carbon dioxide;acidity regulator;Approved in the EU.[20]
E357;Potassium adipate;;E407;Carrageenan;;;;E296;Malic acid;acidity regulator;Approved in the EU.[20]
E363;Succinic acid;;E407a;Processed eucheuma seaweed;;;;E297;Fumaric acid;acidity regulator;Approved in the EU.[20]
E380;Triammonium citrate;;E410;"Locust bean gum; carob gum";;;;;;;
E385;Calcium disodium ethylene diamine tetra-acetate (Calcium disodium EDTA);;E412;Guar gum;;;;E300;"Ascorbic acid;Vitamin C";antioxidant;Approved in the EU.[22]
E392;Extracts of rosemary;;E413;Tragacanth;;;;E301;Sodium ascorbate;antioxidant;Approved in the EU.[22]
E400;Alginic acid;;E414;"Acacia gum; gum arabic";;;;E302;Calcium ascorbate;antioxidant;Approved in the EU.[22]
E401;Sodium alginate;;E415;Xanthan gum;;;;E303;Potassium ascorbate;antioxidant;
E402;Potassium alginate;;E416;Karaya gum;;;;E304;"Fatty acid esters of ascorbic acid;Ascorbyl palmitate";antioxidant;Approved in the EU.[22]
E403;Ammonium alginate;;E417;Tara gum;;;;E305;Ascorbyl stearate;antioxidant;
E404;Calcium alginate;;E418;Gellan gum;;;;E306;"Tocopherols;Vitamin E";antioxidant;Approved in the EU.[22]
E405;"Propane-1; 2-diol alginate";;E425;Konjac;;;;E307;Alpha-Tocopherol;antioxidant;Approved in the EU.[22]
E406;Agar;;E426;Soybean hemicellulose;;;;E308;Gamma-Tocopherol ;antioxidant;Approved in the EU.[22]
E407;Carrageenan;;E427;Cassia gum;;;;E309;Delta-Tocopherol;antioxidant;Approved in the EU.[22]
E407a;Processed euchema seaweed;;E432;"Polyoxyethylene sorbitan monolaurate; Polysorbate 20";;;;E310;Propyl gallate;antioxidant;Approved in the EU.[22]
E410;Locust bean gum;;E433;"Polyoxyethylene sorbitan mono-oleate; Polysorbate 80";;;;E311;Octyl gallate;antioxidant;Approved in the EU.[22]
E412;Guar gum;;E434;"Polyoxyethylene sorbitan monopalmitate; Polysorbate 40";;;;E312;Dodecyl gallate;antioxidant;Approved in the EU.[22]
E413;Tragacanth;;E435;"Polyoxyethylene sorbitan monostearate; Polysorbate 60";;;;E313;Ethyl gallate;antioxidant;
E414;Gum arabic (acacia gum);;E436;"Polyoxyethylene sorbitan tristearate; Polysorbate 65";;;;E314;Guaiac resin;antioxidant;
E415;Xanthan gum;;E440;Pectins;;;;E315;Erythorbic acid;antioxidant;Approved in the EU.[22]
E416;Karaya gum;;E442;Ammonium phosphatides;;;;E316;Sodium erythorbate;antioxidant;Approved in the EU.[22]
E417;Tara gum;;E444;Sucrose acetate isobutyrate;;;;E317;Erythorbin acid;antioxidant;
E418;Gellan gum;;E445;Glycerol esters of wood rosins;;;;E318;Sodium erythorbin;antioxidant;
E420;Sorbitols;;E460;Cellulose;;;;E319;"tert-Butylhydroquinone;TBHQ";antioxidant;Approved in the EU.[22]
E421;Mannitol;;E461;Methyl cellulose;;;;E320;"Butylated hydroxyanisole;BHA";antioxidant;Approved in the EU.[22]
E422;Glycerol;;E462;Ethyl cellulose;;;;E321;"Butylated hydroxytoluene;BHT";antioxidant;Approved in the EU.[22]
E425;Konjac;;E463;Hydroxypropyl cellulose;;;;E322;Lecithin;emulsifier;Approved in the EU.[23]
E426;Soybean hemicellulose;;E464;Hydroxypropyl methyl cellulose;;;;E323;Anoxomer;antioxidant;
E427;Cassia gum;;E465;Ethyl methyl cellulose;;;;E324;Ethoxyquin;antioxidant;
E431;Polyoxyethylene (40) stearate;;E466;Carboxy methyl cellulose;;;;E325;Sodium lactate;acidity regulator;Approved in the EU.[20]
E432;Polyoxyethylene sorbitan monolaurate (polysorbate 20);;E468;Crosslinked sodium carboxy methyl cellulose;;;;E326;Potassium lactate;acidity regulator;Approved in the EU.[20]
E433;Polyoxyethylene sorbitan monooleate (polysorbate 80);;E469;Enzymatically hydrolysed carboxy methyl cellulose;;;;E327;Calcium lactate;acidity regulator;Approved in the EU.[20]
E434;Polyoxyethylene sorbitan monopalmitate (polysorbate 40);;E470a;"Sodium; potassium and calcium salts of fatty acids";;;;E328;Ammonium lactate;acidity regulator;
E435;Polyoxyethylene sorbitan monostearate (polysorbate 60);;E470b;Magnesium salts of fatty acids;;;;E329;Magnesium lactate;acidity regulator;
E436;Polyoxyethylene sorbitan tristearate (polysorbate 65);;E471;Mono- and diglycerides of fatty acids;;;;E330;Citric acid;acid, acidity regulator;Approved in the EU.[20]
E440;Pectins;;E472a;Acetic acid esters of mono- and diglycerides of fatty acids;;;;E331;"Sodium citrates; Monosodium citrate; Disodium citrate; Sodium citrate;trisodium citrate";acidity regulator;Approved in the EU.[20]
E442;Ammonium phosphatides;;E472b;Lactic acid esters of mono- and diglycerides of fatty acids;;;;E332;"Potassium citrates; Monopotassium citrate; Potassium citrate;tripotassium citrate";acidity regulator;Approved in the EU.[20]
E444;Sucrose acetate isobutyrate;;E472c;Citric acid esters of mono- and diglycerides of fatty acids;;;;E333;"Calcium citrates; Monocalcium citrate; Dicalcium citrate; Calcium citrate;tricalcium citrate";acidity regulator, firming agent, sequestrant;Approved in the EU.[20]
E445;Glycerol esters of wood rosins;;E472d;Tartaric acid esters of mono- and diglycerides of fatty acids;;;;E334;Tartaric acid ;(acid);Approved in the EU.[20]
E450;Diphosphates;;E472e;Mono- and diacetyltartaric acid esters of mono and diglycerides of fatty acids;;;;E335;"Sodium tartrates; Monosodium tartrate; Disodium tartrate";acidity regulator;Approved in the EU.[20]
E451;Triphosphates;;E472f;Mixed acetic and tartaric acid esters of mono-and diglycerides of fatty acids;;;;E336;"Potassium tartrates; Monopotassium tartrate;cream of tartar;Dipotassium tartrate";acidity regulator;Approved in the EU.[20]
E452;Polyphosphates;;E473;Sucrose esters of fatty acids;;;;E337;Sodium potassium tartrate;acidity regulator;Approved in the EU.[20]
E459;Beta-cyclodextrin;;E474;Sucroglycerides;;;;E338;Phosphoric acid;acid;Approved in the EU.[20]
E460;Cellulose;;E475;Polyglycerol esters of fatty acids;;;;E339;"Sodium phosphates; Monosodium phosphate; Disodium phosphate; Trisodium phosphate";antioxidant;Approved in the EU.[20]
E461;Methyl cellulose;;E476;Polyglycerol polyricinoleate;;;;E340;"Potassium phosphates; Monopotassium phosphate; Dipotassium phosphate; Tripotassium phosphate";antioxidant;Approved in the EU.[20]
E462;Ethyl cellulose;;E477;"Propane-1;2-diol esters of fatty acids";;;;E341;"Calcium phosphates; Monocalcium phosphate; Dicalcium phosphate; Tricalcium phosphate";anti-caking agent, firming agent;Approved in the EU.[20]
E463;Hydroxypropyl cellulose;;E479b;Thermally oxidised soya bean oil interacted with mono­ and diglycerides of fatty acids;;;;E342;"Ammonium phosphates; monoammonium phosphate; diammonium phosphate";;
E464;Hydroxypropyl methyl cellulose;;E481;Sodium stearoyl-2-lactylate;;;;E343;"Magnesium phosphates; monomagnesium phosphate; Dimagnesium phosphate";anti-caking agent;Approved in the EU.[20] This additive is under discussion and may be included in a future amendment to the Directive on miscellaneous additives.
E465;Ethyl methyl cellulose;;E482;Calcium stearoyl-2-lactylate;;;;E344;Lecithin citrate;acidity regulator;
E466;"Sodium carboxy methyl cellulose; cellulose gum";;E483;Stearyl tartrate;;;;E345;Magnesium citrate;acidity regulator;
E468;Cross-linked sodium carboxy methyl cellulose;;E491;Sorbitan monostearate;;;;E349;Ammonium malate;acidity regulator;
E469;Enzymatically hydrolysed carboxy methyl cellulose;;E492;Sorbitan tristearate;;;;E350;"Sodium malates; Sodium malate; Sodium hydrogen malate";acidity regulator;Approved in the EU.[20]
E470a;"Sodium; potassium and calcium salts of fatty acids";;E493;Sorbitan monolaurate;;;;E351;Potassium malate;acidity regulator;Approved in the EU.[20]
E470b;Magnesium salts of fatty acids;;E494;Sorbitan monooleate;;;;E352;"Calcium malates; Calcium malate; Calcium hydrogen malate";acidity regulator;Approved in the EU.[20]
E471;Mono-and diglycerides of fatty acids;;E495;Sorbitan monopalmitate;;;;E353;Metatartaric acid;emulsifier;Approved in the EU.[20]
E472a;Acetic acid esters of mono- and diglycerides of fatty acids;;E1103;Invertase;;;;E354;Calcium tartrate;emulsifier;Approved in the EU.[20]
E472b;Lactic acid esters of mono- and diglycerides of fatty acids;;E260;Acetic acid;;;;E355;Adipic acid;acidity regulator;Approved in the EU.[20]
E472c;Citric acid esters of mono- and diglycerides of fatty acids;;E261;Potassium acetate;;;;E356;Sodium adipate;acidity regulator;Approved in the EU.[20]
E472d;Tartaric acid esters of mono- and diglycerides of fatty acids;;E262;Sodium acetate;;;;E357;Potassium adipate;acidity regulator;Approved in the EU.[20]
E472e;Mono and diacetyl tartaric acid esters of mono- and diglycerides of fatty acids;;E263;Calcium acetate;;;;E359;Ammonium adipate;acidity regulator;
E472f;Mixed acetic and tartaric acid esters of mono- and diglycerides of fatty acids;;E270;Lactic acid;;;;E363;Succinic acid;acidity regulator;Approved in the EU.[20]
E473;Sucrose esters of fatty acids;;E290;Carbon dioxide;;;;E365;Monosodium fumarate;acidity regulator;
E474;Sucroglycerides;;E296;Malic acid;;;;E366;Potassium fumarate;acidity regulator;
E475;Polyglycerol esters of fatty acids;;E297;Fumaric acid;;;;E367;Calcium fumarate;acidity regulator;
E476;Polyglycerol polyricinoleate;;E325;Sodium lactate;;;;E368;Ammonium fumarate;acidity regulator;
E477;"Propane-1;2-diol esters of fatty acids";;E326;Potassium lactate;;;;E370;"1;4-Heptonolactone";acidity regulator;
E479b;Thermally oxidized soya bean oil interacted with mono and diglycerides of fatty acids;;E327;Calcium lactate;;;;E375;Niacin;acidity regulator;
E481;Sodium stearoyl-2-lactylate;;E330;Citric acid;;;;E380;Triammonium citrate;acidity regulator;Approved in the EU.[20]
E482;Calcium stearoyl-2-lactylate;;E331;Sodium citrates;;;;E381;Ammonium ferric citrate;acidity regulator;
E483;Stearyl tartrate;;E332;Potassium citrates;;;;E383;Calcium glycerylphosphate;acidity regulator;
E491;Sorbitan monostearate;;E333;Calcium citrates;;;;E384;Isopropyl citrate;acidity regulator;
E492;Sorbitan tristearate;;E334;Tartaric acid (L-(+));;;;E385;"Calcium disodium ethylene diamine tetraacetate;Calcium disodium EDTA";sequestrant;Approved in the EU.[20]
E493;Sorbitan monolaurate;;E335;Sodium tartrates;;;;E386;"Disodium ethylene diamine tetraacetate;Disodium EDTA";sequestrant;
E494;Sorbitan monooleate;;E336;Potassium tartrates;;;;E387;Oxystearin;stabiliser;
E495;Sorbitan monopalmitate;;E337;Sodium potassium tartrate;;;;E388;Thiodipropionic acid;;
E500;Sodium carbonates;;E338;Phosphoric acid;;;;E389;Dilauryl thiodipropionate;;
E501;Potassium carbonate;;E339;Sodium phosphates;;;;E390;Distearyl thiodipropionate;;
E503;Ammonium carbonates;;E340;Potassium phosphates;;;;E391;Phytic acid;;
E504;Magnesium carbonates;;E341;Calcium phosphates;;;;E392;Extracts of rosemary;;Approved in 2010[24]
E507;Hydrochloric acid;;E343;Magnesium phosphates;;;;E399;Calcium lactobionate;;
E508;Potassium chloride;;E350;Sodium malates;;;;E400;Alginic acid  ;emulsifier;Approved in the EU.[23]
E509;Calcium chloride;;E351;Potassium malate;;;;E401;Sodium alginate  ;emulsifier;Approved in the EU.[23]
E511;Magnesium chloride;;E352;Calcium malates;;;;E402;Potassium alginate  ;emulsifier;Approved in the EU.[23]
E512;Stannous chloride;;E353;Metatartaric acid;;;;E403;Ammonium alginate;emulsifier;Approved in the EU.[23]
E513;Sulphuric acid;;E354;Calcium tartrate;;;;E404;Calcium alginate;emulsifier;Approved in the EU.[23]
